0 37 74
1 79 80
2 68 86
3 84 85
4 72 83
5 65 84
6 85 85
7 76 83
8 65 80
9 76 79
10 78 79
11 62 78
12 74 75
13 68 75
14 56 75
15 68 73
16 36 72
17 51 72
18 59 70
19 56 69
20 52 65
21 60 63
22 60 61
23 44 57
24 43 57
25 45 54
26 41 52
27 49 52
28 44 53
29 45 52
30 49 50
31 39 47
32 33 45
33 36 44
34 15 43
35 27 39
36 32 36
37 33 34
38 32 32
39 35 34
40 30 33
41 20 32
42 28 31
43 25 30
44 21 27
45 24 25
46 21 25
47 22 24
48 20 23
49 18 27
50 22 26
51 27 27
52 22 26
53 15 22
54 6 20
55 12 17
56 6 14
57 10 10
58 4 7
59 4 5
60 4 6
61 4 5
62 4 4
63 3 3
64 1 2
65 1 2
66 2 3
67 2 2
68 1 1

