0 50 100
1 87 101
2 81 100
3 81 99
4 80 103
5 98 104
6 78 104
7 83 103
8 98 101
9 92 99
10 84 97
11 84 98
12 95 96
13 41 93
14 57 90
15 79 88
16 54 87
17 71 85
18 72 82
19 61 79
20 69 77
21 58 75
22 64 71
23 57 69
24 56 65
25 58 65
26 33 64
27 46 68
28 38 65
29 16 61
30 37 58
31 52 54
32 44 53
33 45 52
34 34 50
35 32 48
36 30 45
37 39 42
38 36 39
39 15 37
40 31 36
41 31 36
42 30 34
43 30 33
44 27 33
45 31 35
46 31 35
47 34 35
48 32 35
49 27 34
50 32 36
51 33 36
52 30 34
53 32 33
54 21 33
55 26 31
56 20 29
57 24 30
58 20 29
59 21 28
60 13 26
61 20 24
62 23 22
63 7 19
64 20 22
65 18 23
66 12 22
67 15 21
68 16 20
69 14 18
70 14 18
71 9 17
72 10 15
73 8 13
74 12 14
75 8 14
76 12 13
77 4 12
78 10 11
79 8 10
80 6 8
81 7 6
82 8 7
83 7 6
84 6 7
85 4 6
86 3 5
87 5 4
88 3 4
89 2 3
90 2 2
91 1 1

