0 25 50
1 47 52
2 51 51
3 47 52
4 49 52
5 49 50
6 38 52
7 34 51
8 46 47
9 26 49
10 33 43
11 39 41
12 39 38
13 32 35
14 32 32
15 32 33
16 23 32
17 30 32
18 31 35
19 26 32
20 29 34
21 19 33
22 33 32
23 20 23
24 17 22
25 15 19
26 19 23
27 8 21
28 19 19
29 13 17
30 10 14
31 14 13
32 16 15
33 10 14
34 15 14
35 7 9
36 10 10
37 11 11
38 6 13
39 5 13
40 8 13
41 12 11
42 7 6
43 6 5
44 5 6
45 2 5
46 5 4
47 3 3
48 1 2
49 1 0
50 1 0
51 1 0
52 1 1
53 1 1
54 1 0
55 1 0
56 1 0
57 1 0
58 1 0
59 2 2
60 2 2
61 2 2
62 2 2
63 1 1
64 1 0
65 1 1
66 2 2
67 1 1

